name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,glass
scotch cocktail,cocktail classics,1/2 oz,old mr. boston creme de menthe (white),1 1/2 oz,desmond & duff scotch whisky,,,,,,,,,cocktail glass
rum relaxer,rum - daiquiris,1 1/2 oz,light rum,1 oz,pineapple juice,1/2 oz,grenadine,lemon-lime soda,,,"orange wheel, maraschino cherry",,,hurricane glass
rum old-fashioned,rum - daiquiris,1 1/2 oz,light rum,1 oz,151-proof rum,1 oz,simple syrup,1 oz,angostura bitters,,lemon twist,,,old-fashioned glass
rum martini,rum - daiquiris,2 oz,light rum,1 oz,dry vermouth,,lemon twist,,,,,,,cocktail glass
rum highball,rum - daiquiris,2 oz,light or dark rum,,ginger ale or soda water,,lemon twist,,,,,,,highball glass
rum fix,rum - daiquiris,2 1/2 oz,light rum,1 oz,fresh lemon or lime juice,1/2 oz,simple syrup,lemon wheel,,,,,,highball glass
rum daisy,rum - daiquiris,2 oz,light rum,1/2 oz,fresh lemon juice,1 oz,simple syrup,1 oz,grenadine,,fresh seasonal fruit,,,beer mug
d'artagnan,brandy,1 oz,armagnac,1 oz,grand marnier,1 oz,simple syrup,1/2 oz,orange juice,3 oz,chilled champagne,,orange zest,champagne flute
rum cooler,rum - daiquiris,2 oz,light rum,1/2 oz,simple syrup,2 oz,soda water,soda water or ginger ale,,,orange and/or lemon zest,,,collins glass
rum collins,rum - daiquiris,2 oz,light rum,1 oz,fresh lime juice,1/2 oz,simple syrup,soda water,,,"lemon wheel, maraschino cherry",,,collins glass
seaboabd,cocktail classics,1 oz,old mr. boston blended whiskey,1 oz,old mr. boston dry gin,1 oz,lemon juice,1 oz,powdered sugar,,,,,old-fashioned glass
rum cobbler,rum - daiquiris,2 oz,light rum,1/4 oz,simple syrup,,soda water,generous amount of fresh seasonal fruit,,,,,,red-wine glass
robson cocktail,rum - daiquiris,1 1/2 oz,jamaica rum,1/2 oz,fresh lemon juice,1/2 oz,fresh orange juice,1/4 oz,grenadine,,,,,cocktail glass
rio fix,rum - daiquiris,2 oz,absinthe or pastis,1 1/2 oz,cachaca,1/2 oz,maraschino liqueur,3/4 oz,fresh lime juice,1/2 oz,pineapple juice,,,champagne flute
ringo starr,rum - daiquiris,3 oz,red grapes,1/2 oz,lemon,6,fresh mint leaves,1 oz,sugar cube,2 oz,african rum,,,old-fashioned glass
restless native,rum - daiquiris,2 oz,coconut rum,3/4 oz,white creme de cacao,1 1/2 oz,fresh lime juice,lime zest spiral,,,,1 1/2 oz,light rum,cocktail glass
quarter deck cocktail,rum - daiquiris,1 1/2 oz,light rum,1/2 oz,cream sherry,1/2 oz,fresh lime juice,,,,,,,cocktail glass
quaker's cocktail,rum - daiquiris,3/4 oz,light rum,3/4 oz,brandy,1/2 oz,fresh lemon juice,1/4 oz,raspberry syrup,,,,,cocktail glass
puerto rican rum daisy,rum - daiquiris,1 1/2 oz,dark rum,1/4 oz,orange curacao,3/4 oz,fresh lemon juice,1/2 oz,each orange juice and simple syrup,1 oz,angostura bitters,,"freshly grated nutmeg, orange wheel",cocktail glass
cuban cocktail no. 2,brandy,1 1/2 oz,brandy,1/2 oz,light rum,1/2 oz,apricot-flavored brandy,1/2 oz,fresh lime juice,,,,,cocktail glass
prohibition punch,rum - daiquiris,1 1/2 oz,dark rum,3/4 oz,grand marnier,1 oz,passion fruit juice,1 oz,cranberry juice,1/4 oz,fresh lemon juice,2 oz,champagne,brandy snifter
prairie oyster cocktail,cocktail classics,1 oz,old mr. boston five star brandy,1 oz,worcestershire sauce,1 oz,tomato catsup,1 oz,vinegar,1 oz,pepper,1 oz,"egg yolk, 1 oz",old-fashioned glass
poker cocktail,rum - daiquiris,1 1/2 oz,light rum,1 1/2 oz,sweet vermouth,,,,,,,,,cocktail glass
planter's punch no. 2,rum - daiquiris,2 oz,light rum,2 oz,orange juice,1 oz,"each fresh lime juice, jamaica rum, grenadine",1/2 oz,pineapple juice,1/4 oz,"each fresh lemon juice, triple sec",,"lemon, orange, and pineapple slices; maraschino cherry; fresh mint sprig dipped in sugar",collins glass
planter's punch no. 1,rum - daiquiris,2 1/2 oz,light rum,2 oz,fresh lime juice,1/2 oz,simple syrup,2 oz,soda water,1 oz,grenadine,,"lemon, orange, and pineapple slices; maraschino cherry",collins glass
planter's cocktail,rum - daiquiris,1 1/2 oz,jamaica rum,1/2 oz,fresh lemon juice,1 oz,simple syrup,,,,,,,cocktail glass
pink paradise,rum - daiquiris,1 1/2 oz,coconut-flavored rum,1 oz,amaretto,3 oz,cranberry juice,1 1/2 oz,pineapple juice,,"pineapple wedge, maraschino cherry",,,hurricane glass
pink creole,rum - daiquiris,1 1/2 oz,light rum,1/2 oz,fresh lime juice,1/4 oz,grenadine,1/4 oz,half-and-half,,rum-soaked black cherry,,,cocktail glass
pineapple fizz,rum - daiquiris,2 oz,light rum,1 oz,pineapple juice,1 oz,simple syrup,soda water,,,,,,highball glass
