name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,glass
strawberry margarita,tequila,for glass,"lime wedge, superfine sugar or coarse salt (optional)",3 oz,"fresh strawberries, cut in half",3/4 oz,strawberry schnapps,1 1/2 oz,blanco tequila,3/4 oz,triple sec,3/4 oz,"fresh lime juice, whole strawberry",cocktail glass
western rose cocktail,cocktail classics,1/2 oz,old mr. boston apricot flavored brandy,1 oz,old mr. boston dry gin,1/2 oz,dry vermouth,1/4 oz,lemon juice,,,,,cocktail glass
widow's kiss cocktail,cocktail classics,1 oz,old mr. boston five star brandy,1/2 oz,yellow chartreuse,1/2 oz,benedictine,1 oz,peychaud bitters,,,,,cocktail glass
spice of life,tequila,3 oz,cucumber,12,fresh mint leaves,3/4 oz,simple syrup,2 oz,jalapeno-infused tequila,3/4 oz,fresh lime juice,,"cucumber slice, fresh mint sprig",old-fashioned glass
widow's dream cocktail,cocktail classics,1 1/2 oz,benedictine,1 oz,whole egg,,,,,,,,,cocktail glass
vodka gypsy cocktail,cocktail classics,1 1/2 oz,old mr. boston vodka,3/4 oz,benedictine,1 oz,angostura bitters,,,,,,,cocktail glass
south of the border,tequila,1 oz,blanco tequila,3/4 oz,coffee-flavored brandy,1/2 oz,fresh lime juice,lime wheel,,,,,,cordial or pony glass
vodka grasshopper cocktail,cocktail classics,3/4 oz,old mr. boston vodka,3/4 oz,old mr. boston green creme de menthe,3/4 oz,old mr. boston white creme de cacao,,,,,,,cocktail glass
violet fizz juice,cocktail classics,1/2 oz,juice of a lemon,1/2 oz,powdered sugar,1 1/2 oz,old mr. boston dry gin,1 oz,creme yvette,,,,,highball glass
smoked margarita,tequila,1/2 oz,"smoky scotch whisky, such as islay or skye",1 oz,reposado tequila,1 oz,triple sec,1/2 oz,fresh lemon juice,1/2 oz,fresh lime juice,,lime wedge,old-fashioned glass
sloe tequila,shooters,1 oz,blanco tequila,1/2 oz,sloe gin,1/2 oz,fresh lime juice,cucumber peel twist,,,,,,old-fashioned glass
queen elizabeth cocktail,cocktail classics,1 1/2 oz,old mr. boston dry gin,1/2 oz,dry vermouth,1 1/2 oz,benedictine,,,,,,,cocktail glass
silk stockings,tequila,1 1/2 oz,blanco tequila,1 oz,white creme de cacao,1 1/2 oz,heavy cream,1 oz,grenadine,,ground cinnamon,,,cocktail glass
orchid cocktail,cocktail classics,2 oz,old mr. boston dry gin,1 oz,egg white,1 oz,creme yvette,,,,,,,cocktail glass
orange milk fizz,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,2 oz,old mr. boston orange flavored gin,2 oz,milk,,,,,highball glass
orange gin rickey,cocktail classics,1/2 oz,juice of a lime,2 oz,old mr. boston orange flavored gin,,,,,,,,,highball glass
orange gin highball,cocktail classics,2 oz,old mr. boston orange flavored gin,,ginger ale,,lemon twist,,,,,,,highball glass
orange gin fizz,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,2 oz,old mr. boston orange flavored gin,,,,,,,highball glass
orange gin collins,cocktail classics,1/2 oz,juice of a lemon,2 oz,old mr. boston orange flavored gin,,,,,,,,,collins glass
sidewinder,tequila,1 1/2 oz,reposado tequila,1/2 oz,campari,1/2 oz,"vanilla syrup, preferably b.a. reynold's",1/2 oz,fresh lime juice,1/4 oz,mezcal,2 oz,"ginger beer, 1 oz",collins glass
orange blossom cocktail,cocktail classics,1 oz,old mr. boston dry gin,1 oz,orange juice,1/4 oz,powdered sugar,,,,,,,cocktail glass
shady lady,tequila,1 oz,blanco tequila,1 oz,melon liqueur,4 oz,fresh grapefruit juice,4 oz,fresh grapefruit juice,,lime wedge; honeydew melon wedge or maraschino cherry,,,highball glass
cherry blossom,brandy,,"cherry-flavored brandy, superfine sugar",1 oz,brandy,1/2 oz,cherry-flavored brandy,1/2 oz,fresh lemon juice,1/4 oz,triple sec,1/4 oz,"grenadine, maraschino cherry",cocktail glass
the sfozando,tequila,1 oz,mezcal,3/4 oz,rye whiskey,1/2 oz,dry vermouth,1/2 oz,benedictine,1 oz,chocolate bitters,,orange twist,cocktail glass
napoleon cocktail,cocktail classics,2 oz,old mr. boston dry gin,1/2 oz,curacao,1/2 oz,dubonnet,,,,,,,cocktail glass
moulin rouge cocktail,cocktail classics,1 1/2 oz,old mr. boston sloe gin,3/4 oz,sweet vermouth,1 oz,bitters,,,,,,,cocktail glass
sea of cortez,tequila,1 1/2 oz,blanco tequila,1 oz,fresh lime juice,3/4 oz,creme de cassis,1/4 oz,orange curacao,,,,,cocktail glass
satin sheets,tequila,1 1/2 oz,blanco tequila,1/2 oz,falernum,1/2 oz,simple syrup,3/4 oz,fresh lime juice,,lime wheel,,,cocktail glass
santana sling,tequila,1 1/2 oz,reposado tequila,1/2 oz,cherry heering,1/4 oz,batavia arrack or light rum,1/2 oz,fresh lime juice,3 oz,ginger beer,,,collins glass
rosita,tequila,1 1/2 oz,blanco tequila,1/2 oz,sweet vermouth,1/2 oz,dry vermouth,1/2 oz,campari,1 oz,angostura bitters,,lemon twist,old-fashioned glass
mariposa cocktail,cocktail classics,1 oz,old mr. boston rum,1/2 oz,old mr. boston five star brandy,1 oz,lemon juice,1 oz,orange juice,1 oz,grenadine,,,cocktail glass
margarita cocktail,cocktail classics,1 1/2 oz,old mr. boston tequila,1/2 oz,old mr. boston triple sec,1 oz,lemon or lime juice,,,,,,,cocktail glass
the refuge,tequila,1 1/2 oz,blanco tequila,1/2 oz,aperol,1/4 oz,fresh lime juice,1/4 oz,grapefruit juice,1/4 oz,agave nectar,,,cocktail glass
manhattan cocktail (dry),cocktail classics,3/4 oz,dry vermouth,1 1/2 oz,old thompson blended whiskey,,,,,,,,,cocktail glass
mamie taylor,cocktail classics,1/2 oz,juice of a lime,2 oz,desmond & duff scotch whisky,,,,,,,,,collins glass
quetzalcoatl,tequila,1 oz,blanco tequila,3/4 oz,mezcal,1/2 oz,creme de peche,1/2 oz,guava puree,1/2 oz,grapefruit juice,,grapefruit twist,cocktail glass
zero mint,cocktail classics,2 oz,mr. boston creme de menthe,,water,,,,,,,,,cocktail glass
purple pancho,tequila,for glass,"lime wedge, superfine sugar",1 oz,blanco tequila,1/2 oz,blue curacao,1/2 oz,sloe gin,2 oz,fresh lime juice,1 oz,"each fresh lemon juice, simple syrup, 1 lime wheel",cocktail glass
midnight express,rum - daiquiris,1 1/2 oz,dark rum,1/2 oz,triple sec,3/4 oz,fresh lime juice,1/4 oz,fresh lemon juice,1/4 oz,simple syrup,,,old-fashioned glass
london special cocktail,cocktail classics,,orange peel,,lump sugar,2 dashes,bitters,champagne,,,,,,champagne flute
mary pickford cocktail,rum - daiquiris,1 1/2 oz,light rum,3/4 oz,pineapple juice,1/4 oz,maraschino liqueur,1/4 oz,grenadine,,,,,cocktail glass
charles cocktail,brandy,1 1/2 oz,brandy,1 1/2 oz,sweet vermouth,1 oz,angostura bitters,,,,,,,cocktail glass
martinique rose,rum - daiquiris,2 oz,aged rhum agricole,1/2 oz,amaretto,3/4 oz,fresh lime juice,3/4 oz,grapefruit juice,1/2 oz,orgeat or almond syrup,,,cocktail glass
mariposa,rum - daiquiris,1 oz,light rum,1/2 oz,brandy,1/2 oz,fresh lemon juice,1/2 oz,orange juice,1 oz,grenadine,,,cocktail glass
mandeville,rum - daiquiris,1 1/2 oz,light rum,1 oz,dark rum,1/2 oz,fresh lemon juice,1 oz,anisette,1 oz,grenadine,cola,,old-fashioned glass
k.c.b. cocktail,cocktail classics,1/2 oz,old mr. boston kummel,1 1/2 oz,old mr. boston dry gin,1/4 oz,old mr. boston apricot flavored brandy,1/4 oz,lemon juice,,,,,cocktail glass
malmaison,rum - daiquiris,,anisette,1 oz,light rum,1/2 oz,cream sherry,1 oz,fresh lemon juice,,,,,cocktail glass
mai-tai (trader vic version),rum - daiquiris,2 oz,"dark rum, preferably jamaican",1/2 oz,orange curacao,1 oz,fresh lime juice (reserve 1/2 lime shell for garnish),1/2 oz,orgeat syrup,1/4 oz,rock candy syrup or simple syrup,,fresh mint sprig; pineapple wedge skewered with maraschino cherry,old-fashioned glass
jersey lightning cocktail,cocktail classics,1 1/2 oz,apple brandy,1/2 oz,sweet vermouth,1 oz,juice of a lime,,,,,,,cocktail glass
lumination,rum - daiquiris,2 oz,fresh ginger,1 oz,simple syrup,2 oz,dark rum,1 oz,vs cognac,1 oz,"each fresh lemon juice, angostura bitters",,lemon twist,champagne flute
jamaica glow cocktail,cocktail classics,1 oz,old mr. boston dry gin,1 oz,claret,1 oz,orange juice,1 oz,jamaica rum,,,,,cocktail glass
lounge lizard,rum - daiquiris,1 oz,dark rum,1/2 oz,amaretto,,cola,lime wedge,,,,,,collins glass
jack-in-the-box cocktail,cocktail classics,1 oz,apple brandy,1 oz,pineapple juice,1 oz,bitters,,,,,,,cocktail glass
irish whisky cocktail,cocktail classics,1/2 oz,old mr. boston triple sec,1/2 oz,absinthe substitute,1/4 oz,maraschino,1 oz,bitters,2 oz,irish whiskey,,,cocktail glass
look out below,rum - daiquiris,1 1/2 oz,151-proof rum,1/2 oz,fresh lime juice,1/4 oz,grenadine,,,,,,,old-fashioned glass
little princess cocktail,rum - daiquiris,1 1/2 oz,light rum,1 1/2 oz,sweet vermouth,,,,,,,,,cocktail glass
little devil cocktail,rum - daiquiris,3/4 oz,light rum,3/4 oz,gin,1/2 oz,fresh lemon juice,1/4 oz,triple sec,,,,,cocktail glass
champs elysees cocktail,brandy,1 oz,brandy,1/2 oz,yellow chartreuse,1/2 oz,fresh lemon juice,1 oz,simple syrup,1 oz,angostura bitters,,,cocktail glass
hop toad cocktail,cocktail classics,1/2 oz,juice of a lime,3/4 oz,old mr. boston apricot flavored brandy,3/4 oz,old mr. boston rum,,,,,,,cocktail glass
level headed cocktail,rum - daiquiris,1 1/2 oz,aged rhum agricole,1 oz,cold brewed coffee,1/2 oz,allspice liqueur (pimento dram),1/4 oz,simple syrup,2 oz,angostura bitters,,,brandy snifter
la vita dulce,rum - daiquiris,1 1/2 oz,spiced rum,3/4 oz,mezcal,3/4 oz,fresh lime juice,3/4 oz,simple syrup,,ground cinnamon,,,cocktail glass
hole-in-one cocktail,cocktail classics,1 3/4 oz,desmond & duff scotch whisky,3/4 oz,dry vermouth,1/4 oz,lemon juice,1 oz,orange bitters,,,,,cocktail glass
ko adang,rum - daiquiris,2 oz,dark rum,1 oz,coconut rum,1/2 oz,ginger liqueur,1/2 oz,mango nectar,1/2 oz,cream of coconut,1/2 oz,"fresh lime juice, lime wheel",collins glass
knickerbocker special cocktail,rum - daiquiris,2 oz,light rum,1/2 oz,triple sec,1 oz,fresh lemon juice,1 oz,orange juice,1 oz,raspberry syrup,,small pineapple slice,cocktail glass
hair raiser cocktail,cocktail classics,1 1/2 oz,old mr. boston 100 proof vodka,1/2 oz,old mr. boston rock and rye,1 oz,lemon juice,,,,,,,cocktail glass
green opal cocktail,cocktail classics,1/2 oz,old mr. boston dry gin,1/2 oz,old mr. boston anisette,1 oz,absinthe substitute,,,,,,,cocktail glass
jamaican ginger,rum - daiquiris,1 1/2 oz,light rum,1 oz,dark rum,1/2 oz,falernum,1/2 oz,fresh lime juice,4 oz,angostura bitters,,"ginger ale, lime wheel",collins glass
green dragon cocktail,cocktail classics,1/2 oz,juice of a lemon,1/2 oz,old mr. boston kummel,1/2 oz,old mr. boston green creme de menthe,1 1/2 oz,old mr. boston dry gin,4 oz,orange bitters,,,cocktail glass
grasshopper cocktail,cocktail classics,3/4 oz,old mr. boston green creme de menthe,3/4 oz,old mr. boston white creme de cacao,3/4 oz,light sweet cream,,,,,,,cocktail glass
jamaican crawler,rum - daiquiris,1 oz,light rum,1 oz,melon liqueur,3 oz,pineapple juice,1 oz,grenadine,,,,,collins glass
golden slipper cocktail,cocktail classics,3/4 oz,yellow chartreuse,2 oz,old mr. boston apricot flavored brandy,,,,,,,,,cocktail glass
jade,rum - daiquiris,1 1/2 oz,light rum,1/2 oz,fresh lime juice,1/2 oz,green creme de menthe,1/2 oz,triple sec,1/2 oz,simple syrup scant,,lime wheel,cocktail glass
jacqueline,rum - daiquiris,2 oz,dark rum,1 oz,triple sec,1 oz,fresh lime juice,1 oz,simple syrup,,,,,cocktail glass
jack sparrow flip,rum - daiquiris,2 oz,dark rum,3/4 oz,madeira,3/4 oz,simple syrup,1 oz,egg,2 oz,angostura bitters,,freshly grated nutmeg,highball glass
irresistible,rum - daiquiris,1 1/2 oz,light rum,1/2 oz,sweet vermouth,1/4 oz,benedictine,1/4 oz,fresh lemon juice,,lemon twist,,,cocktail glass
carroll cocktail,brandy,1 1/2 oz,brandy,3/4 oz,sweet vermouth,,maraschino cherry,,,,,,,cocktail glass
hush and wonder,rum - daiquiris,1 oz,creme de violette,2 oz,light rum,3/4 oz,fresh lime juice,3/4 oz,simple syrup,3 oz,grapefruit bitters,,,cocktail glass
hurricane leah,rum - daiquiris,1/4 oz,"each light rum, gin, vodka, blanco tequila, blue curacao",1 oz,cherry-flavored brandy,1 1/2 oz,simple syrup,1 1/2 oz,fresh lemon juice,3 oz,fresh orange juice,,orange wheel,hurricane glass
gimlet cocktail,cocktail classics,1 oz,rose's lime juice,1 oz,powdered sugar,1 1/2 oz,old mr. boston dry gin,,,,,,,cocktail glass
hurricane,rum - daiquiris,1 1/2 oz,"each dark rum, light rum",1 oz,passion fruit syrup,1 oz,lime juice,3/4 oz,orange juice,1/2 oz,"each simple syrup, grenadine",,"orange half-wheel, maraschino cherry",hurricane glass
hop toad,rum - daiquiris,3/4 oz,light rum,3/4 oz,apricot-flavored brandy,1/2 oz,fresh lime juice,,,,,,,cocktail glass
the holy roller,rum - daiquiris,1 1/2 oz,cachaca,3/4 oz,fresh lime juice,1/2 oz,honey syrup,4 fresh mint leaves,,2 oz,angostura bitters,1/2 oz,"champagne or sparkling wine, mint sprig",cocktail glass
hemingway's nog,rum - daiquiris,1 1/2 oz,dark rum,3/4 oz,vanilla liqueur,1/4 oz,simple syrup,1 oz,creme fraiche,3 oz,"tiki bitters, such as bittermen's elemakule",,freshly grated nutmeg,cocktail glass
flying scotchman cocktail,cocktail classics,1 oz,sweet vermouth,1 oz,desmond & duff scotch whisky,1 oz,bitters,1/4 oz,sugar syrup,,,,,cocktail glass
flying grasshopper cocktail,cocktail classics,3/4 oz,old mr. boston green creme de menthe,3/4 oz,old mr. boston white creme de cacao,3/4 oz,old mr. boston vodka,,,,,,,cocktail glass
havana cocktail,rum - daiquiris,3/4 oz,light rum,1 1/2 oz,pineapple juice,1/4 oz,fresh lemon juice,,,,,,,cocktail glass
harvest nectar,rum - daiquiris,1 1/2 oz,light rum,1 oz,pineapple juice,1 oz,cranberry juice,1 oz,orange juice,1 oz,lemon-lime soda,,,beer mug
fancy brandy cocktail,cocktail classics,2 oz,old mr. boston five star brandy,1 oz,bitters,1/4 oz,old mr. boston triple sec,1/4 oz,powdered sugar,,,,,cocktail glass
fallen angel cocktail,cocktail classics,1 oz,juice of a lime,1 1/2 oz,old mr. boston dry gin,1 oz,bitters,1/2 oz,old mr. boston white creme de menthe,,,,,cocktail glass
the poncho,tequila,2 oz,reposado tequila,1/2 oz,dry vermouth,1/2 oz,maraschino liqueur,2 oz,peychaud's bitters,,maraschino cherry,,,cocktail glass
hai karate,rum - daiquiris,2 oz,dark rum,1 oz,fresh lime juice,1 oz,pineapple juice,1 oz,orange juice,1 oz,maple syrup,1 oz,angostura bitters,collins glass
cara sposa,brandy,1 oz,coffee-flavored brandy,3/4 oz,triple sec,1/2 oz,half-and-half,,,,,,,cocktail glass
traditional martini (dry),cocktail classics,1 oz,gin,1 oz,dry vermouth,1 oz,orange bitters,lemon twist,,,,,,cocktail glass
pina agave,tequila,2 oz,cucumber,1 1/2 oz,blanco tequila,1 oz,pineapple juice,3/4 oz,fresh lemon juice,1/2 oz,agave nectar,,"lemon-lime soda, cucumber slice",cocktail glass
grande guignol,rum - daiquiris,1 1/2 oz,dark rum,3/4 oz,yellow chartreuse,3/4 oz,cherry heering,3/4 oz,fresh lime juice,,lime wheel,,,cocktail glass
pancho villa,tequila,1 oz,anejo tequila,3/4 oz,aperol,3/4 oz,sweet vermouth,1 oz,peach bitters,,grapefruit twist,,,cocktail glass
paloma (natural),tequila,2 oz,blanco tequila,2 oz,fresh white or ruby red grapefruit juice,,soda water,lime wedge,,,,,,collins glass
golden friendship,rum - daiquiris,1 oz,light rum,1 oz,sweet vermouth,1 oz,amaretto,ginger ale,,,"orange zest spiral, maraschino cherry",,,collins glass
paloma,tequila,2 oz,blanco tequila,,grapefruit-flavored soda,,lime wedge,,,,,,,collins glass
pacific sunshine,tequila,for glass,"lemon wheel, coarse salt",1 1/2 oz,blanco tequila,1 1/2 oz,blue curacao,3/4 oz,simple syrup,3/4 oz,fresh lemon juice,1 oz,angostura bitters,hurricane glass
golden eclipse,rum - daiquiris,1 1/2 oz,dark rum,1/4 oz,amaro,1/2 oz,fresh lemon juice,1 oz,orange bitters,3 oz,sparkling apple cider,,golden delicious apple wedge,cocktail glass
diplomat cocktail,cocktail classics,1 1/2 oz,dry vermouth,1/2 oz,sweet vermouth,2 oz,bitters,1/2 oz,maraschino,,,,,cocktail glass
oldest temptation,tequila,2 oz,anejo tequila,1 oz,apple juice,1/2 oz,fresh lemon juice,1/2 oz,triple sec,1/4 oz,simple syrup,1 oz,"angostura bitters, flamed lemon twist",cocktail glass
ginger grapefruit rickey,rum - daiquiris,2 oz,light rum,2 oz,fresh grapefruit juice,1 oz,ginger liqueur,1/2 oz,fresh lime juice,,soda water,,,highball glass
calvados cocktail,brandy,1 1/2 oz,calvados,1 1/2 oz,orange juice,3/4 oz,triple sec,1 oz,orange bitters,,,,,cocktail glass
daiquiri cocktail,cocktail classics,1 oz,juice of a lime,1 oz,powdered sugar,1 1/2 oz,old mr. boston rum,,,,,,,cocktail glass
the oaxaca old-fashioned,tequila,1 1/2 oz,reposado tequila,1/2 oz,mezcal,1/4 oz,agave nectar,2 oz,angostura bitters,,"orange twist, flamed",,,old-fashioned glass
cuban special cocktail,cocktail classics,1 oz,pineapple juice,1/2 oz,juice of a lime,1 oz,old mr. boston rum,1/2 oz,old mr. boston triple sec,,,,,cocktail glass
gaugin,rum - daiquiris,2 oz,light rum,1/2 oz,fresh lemon juice,1/2 oz,fresh lime juice,1/2 oz,passion fruit syrup,,maraschino cherry,,,old-fashioned glass
the nomad south,tequila,2 oz,blanco tequila,1 oz,orange juice,1/2 oz,blood orange juice,1/2 oz,agave nectar,1/2 oz,fresh lime juice,1 oz,whiskey barrel bitters,old-fashioned glass
creole lady cocktail,cocktail classics,1 1/2 oz,old kentucky tavern bourbon whiskey,1 1/2 oz,madeira,1 oz,grenadine,,,,,,,cocktail glass
no. 8,tequila,2 oz,reposado tequila,3/4 oz,palo cortado or oloroso sherry,1/2 oz,honey liqueur,2 oz,orange bitters,,lemon twist,,,cocktail glass
fog cutter,rum - daiquiris,1 1/2 oz,light rum,1/2 oz,brandy,1/2 oz,gin,1 1/2 oz,fresh lemon juice,1 oz,each orange juice and sweet sherry,1 1/2 oz,almond or orgeat syrup,collins glass
mexicola,tequila,2 oz,blanco tequila,1/2 oz,fresh lime juice,cola,,,,,,,,collins glass
floridita no. 3,rum - daiquiris,2 oz,light rum,3/4 oz,fresh lime juice,1/2 oz,grapefruit juice,1/2 oz,maraschino liqueur,1/2 oz,simple syrup,,lime wheel,champagne flute
mexican monk,tequila,2 oz,reposado tequila,1/2 oz,dry sherry,1/4 oz,coffee liqueur,1/4 oz,benedictine,,lemon twist,,,cocktail glass
floridita no. 1,rum - daiquiris,1 1/2 oz,light rum,1/2 oz,fresh lime juice,1/2 oz,sweet vermouth,1 oz,white creme de cacao,1 oz,grenadine,,lime twist,cocktail glass
mexican madras,tequila,1 1/2 oz,blanco tequila,2 oz,cranberry juice,1 oz,orange juice,1/4 oz,fresh lime juice,,orange wheel,,,old-fashioned glass
cadiz,brandy,1/4 oz,blackberry-flavored brandy,1/4 oz,dry sherry,1/2 oz,triple sec,1/2 oz,half-and-half,,,,,old-fashioned glass
chocolate soldier cocktail,cocktail classics,1/2 oz,juice of a lime,3/4 oz,dubonnet,1 1/2 oz,old mr. boston dry gin,,,,,,,cocktail glass
fireman's sour,rum - daiquiris,2 oz,light rum,2 oz,fresh lime juice,1/4 oz,simple syrup,1/4 oz,grenadine,,soda water (optional),,"lemon half-wheel, maraschino cherry",old-fashioned glass
fat like buddha,rum - daiquiris,2 oz,dark rum,3/4 oz,dubonnet rouge,1/4 oz,benedictine,1/4 oz,triple sec,,"orange twist, flamed",,,cocktail glass
cherry blossom cocktail,cocktail classics,1 1/2 oz,old mr. boston five star brandy,1/2 oz,old mr. boston wild cherry flavored brandy,1 1/2 oz,old mr. boston triple sec,1 1/2 oz,grenadine,2 oz,lemon juice,,,cocktail glass
fair-and-warmer cocktail,rum - daiquiris,1 1/2 oz,light rum,3/4 oz,sweet vermouth,1/2 oz,triple sec,,,,,,,cocktail glass
chelsea sidecar cocktail,cocktail classics,1/4 oz,juice of a lemon,3/4 oz,old mr. boston triple sec,3/4 oz,old mr. boston dry gin,,,,,,,cocktail glass
mexican firing squad,tequila,2 oz,blanco tequila,1 oz,simple syrup,3/4 oz,fresh lime juice,1 oz,pomegranate molasses (available at middle eastern grocers),2 oz,angostura bitters,,lime wheel,highball glass
mexicana,tequila,1/2 oz,blanco tequila,1 oz,fresh lemon juice,1/2 oz,pineapple juice,1 oz,grenadine,,,,,cocktail glass
el presidente cocktail no. 2,rum - daiquiris,1 1/2 oz,light rum,3/4 oz,dry vermouth,1 oz,angostura bitters,,,,,,,cocktail glass
margarita tequila,shooters,,"lime wedge, coarse salt",1 1/2 oz,blanco tequila,3/4 oz,cointreau triple sec,3/4 oz,fresh lime juice,,,,,cocktail glass
lillypad,tequila,1 1/2 oz,blanco tequila,1/2 oz,each lillet blanc and lillet rouge,1 1/2 oz,apple juice,3/4 oz,fresh lime juice,1/4 oz,agave nectar,,blood orange wheel,cocktail glass
x. y. z. cocktail,cocktail classics,1 oz,lemon juice,1/2 oz,old mr. boston triple sec,1 oz,old mr. boston rum,,,,,,,cocktail glass
la ultima palabra,tequila,3/4 oz,blanco tequila,3/4 oz,fresh grapefruit juice,3/4 oz,fresh lime juice,3/4 oz,yellow chartreuse,3/4 oz,maraschino liqueur,,grapefruit twist,cocktail glass
la perla,tequila,1 1/2 oz,reposado tequila,1 1/2 oz,manzanilla sherry,3/4 oz,pear liqueur,lemon twist,,,,,,cocktail glass
bull's milk,brandy,1 1/2 oz,brandy,1 oz,light rum,1/4 oz,simple syrup,3 oz,milk,,"freshly grated nutmeg, ground cinnamon",,,collins glass
la bomba,tequila,,"lime wedge, superfine sugar",1 1/4 oz,gold tequila,3/4 oz,triple sec,1 1/2 oz,pineapple juice,1 1/2 oz,orange juice,2 oz,"grenadine, lime wheel",cocktail glass
jinx cocktail,tequila,1 oz,blanco tequila,3/4 oz,blood orange liqueur,3/4 oz,becherovka (czech digestif),1 oz,fresh grapefruit juice,,"grapefruit twist, flamed",,,cocktail glass
the interesting cocktail,tequila,2 oz,blanco tequila,1/2 oz,aperol,1/2 oz,dark creme de cacao,3/4 oz,fresh lemon juice,1 oz,grapefruit twist,,,cocktail glass
hot pants,tequila,,"lime wedge, coarse salt",1 1/2 oz,blanco tequila,1/2 oz,peppermint schnapps,1/2 oz,grapefruit juice,2 oz,simple syrup,,,old-fashioned glass
high plains drifter no. 1,tequila,1 oz,campari,2 oz,blanco tequila,3/4 oz,fresh lime juice,3/4 oz,honey syrup,1 oz,angostura bitters,,,cocktail glass
hairy sunrise,tequila,3/4 oz,blanco tequila,3/4 oz,vodka,1/2 oz,triple sec,3 oz,orange juice,1 oz,fresh grenadine,,lime wedge,collins glass
guadalajara,tequila,2 oz,blanco tequila,1 oz,dry vermouth,1/2 oz,benedictine,lemon twist,,,,,,cocktail glass
frostbite,tequila,1 oz,blanco tequila,3/4 oz,white creme de cacao,3/4 oz,heavy cream,freshly grated nutmeg,,,,,,cocktail glass
flower power,tequila,2 oz,blanco tequila,1 oz,grapefruit juice,1/2 oz,agave nectar,1 oz,egg white,3 oz,orange blossom water,2 oz,peychaud's bitters,cocktail glass
cablegram highball,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,2 oz,old thompson blended whiskey,,,,,,,highball glass
cabaret cocktail,cocktail classics,1 1/2 oz,old mr. boston dry gin,2 oz,bitters,1/2 oz,dry vermouth,1/4 oz,benedictine,,,,,cocktail glass
bulla's eye,brandy,1 oz,brandy,2 oz,hard cider,,ginger ale,,,,,,,highball glass
el oso (the bear),tequila,1  3/4 oz,anejo tequila,3/4 oz,honey liqueur,1/2 oz,maraschino liqueur,2 oz,the bitter truth's jerry thomas' own decanter bitters,,dehydrated orange wheel,,,cocktail glass
el ni_o,tequila,6,lime wedges,1 oz,whole strawberry,3/4 oz,simple syrup,2 oz,blanco tequila,5 oz,rose water,,,old-fashioned glass
el molino,tequila,1 1/2 oz,mezcal,3/4 oz,palo cortado or oloroso sherry,1/4 oz,allspice liqueur (pimento dram),1/4 oz,white creme de cacao,,,,,cocktail glass
bucks fizz,cocktail classics,2 oz,orange juice,,champagne,,,,,,,,,collins glass
dirty daisy,tequila,1 1/2 oz,reposado tequila,1 oz,white curacao,1/2 oz,olive brine,1 oz,balsamic vinegar,1 oz,fresh lime juice,,,cocktail glass
diablo,tequila,1 1/2 oz,blanco tequila,3/4 oz,creme de cassis,1/2 oz,fresh lime juice,ginger ale,,,lime wheel,,,collins glass
count camillo's paloma,tequila,3/4 oz,blanco tequila,3/4 oz,sweet vermouth,3/4 oz,campari,2 oz,grapefruit soda,,rosemary sprig,,,collins glass
company b,tequila,1 oz,"whole strawberry, hulled",1 1/2 oz,blanco tequila,1/2 oz,campari,1/2 oz,triple sec,1/2 oz,fresh lemon juice,1/4 oz,"agave nectar, strawberry slice",cocktail glass
chupa cabra,tequila,2 oz,blanco tequila,3/4 oz,fresh grapefruit juice,1/2 oz,fresh lime juice,1/2 oz,campari,1/2 oz,simple syrup,1 oz,"angostura bitters, lime wheel",cocktail glass
chinchona,tequila,1 1/2 oz,anejo tequila,3/4 oz,lillet rouge,1/2 oz,orange curacao,2 oz,orange bitters,,orange twist,,,cocktail glass
chapala,tequila,1 1/2 oz,reposado tequila,1 1/2 oz,orange juice,3/4 oz,fresh lemon juice,1/4 oz,grenadine,,orange blossoms (optional): orange wedge,,,hurricane glass
bulldog cocktail,brandy,1 1/2 oz,cherry-flavored brandy,3/4 oz,gin,1/2 oz,fresh lemon juice,,,,,,,cocktail glass
boston sidecar cocktail,cocktail classics,3/4 oz,old mr. boston five star brandy,3/4 oz,old mr. boston rum,3/4 oz,old mr. boston triple sec,1/2 oz,juice of a lime,,,,,cocktail glass
catalina margarita,tequila,1 1/2 oz,blanco tequila,1 oz,peach schnapps,1 oz,blue curacao,2 oz,simple syrup,2 oz,fresh lemon juice,,,cocktail glass
camino del ray,tequila,1 3/4 oz,anejo tequila,1 oz,oloroso sherry,1/2 oz,drambuie,1 oz,rhubarb bitters,,lemon twist,,,cocktail glass
cactus berry,tequila,,lime wedge coarse salt,1 1/4 oz,blanco tequila,1 1/4 oz,red wine,1/2 oz,"each triple sec, simple syrup",1/4 oz,"each fresh lemon juice, fresh lime juice",1 oz,lemon-lime soda,cocktail glass
bolero cocktail,cocktail classics,1 1/2 oz,old mr. boston rum,3/4 oz,apple brandy,1/4 oz,sweet vermouth,,,,,,,cocktail glass
bum's rush,tequila,1 1/2 oz,blanco tequila,3/4 oz,triple sec,3/4 oz,honey liqueur,1 oz,fresh lime juice,1 oz,fresh apple cider,,lime wedge,collins glass
